City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
46,Zhirnov,RU,2020-04-19 19:59:43,48.17,41.13,46.76,57,97,5.73,overcast clouds,0.0,0.0
47,Narsaq,GL,2020-04-19 19:59:43,60.92,-46.05,32.0,89,20,4.7,few clouds,0.0,0.0
48,Wanning,CN,2020-04-19 19:59:43,18.8,110.4,77.13,89,100,9.78,overcast clouds,0.0,0.0
49,Tiarei,PF,2020-04-19 19:59:43,-17.53,-149.33,86.0,70,73,9.17,broken clouds,0.0,0.0
50,Antofagasta,CL,2020-04-19 19:59:44,-23.65,-70.4,66.2,72,20,13.87,few clouds,0.0,0.0
51,Bredasdorp,ZA,2020-04-19 19:59:44,-34.53,20.04,61.0,87,9,4.7,clear sky,0.0,0.0
52,Saldanha,ZA,2020-04-19 19:56:54,-33.01,17.94,60.8,82,4,12.75,clear sky,0.0,0.0
53,Barcelos,PT,2020-04-19 19:57:37,41.54,-8.62,57.2,82,40,6.93,scattered clouds,0.0,0.0
54,Katsuura,JP,2020-04-19 19:57:00,35.13,140.3,57.52,76,100,10.04,light rain,0.19,0.0
55,Thompson,CA,2020-04-19 19:59:47,55.74,-97.86,21.2,79,90,9.17,light snow,0.0,0.0
56,Mahebourg,MU,2020-04-19 19:59:47,-20.41,57.7,77.0,78,40,10.29,scattered clouds,0.0,0.0
57,Khatanga,RU,2020-04-19 19:59:47,71.97,102.5,17.98,93,50,4.54,scattered clouds,0.0,0.0
58,Atuona,PF,2020-04-19 19:56:10,-9.8,-139.03,82.96,74,48,16.98,scattered clouds,0.0,0.0
59,Madang,PG,2020-04-19 19:59:48,-5.22,145.8,80.11,79,93,2.37,moderate rain,3.7,0.0
60,Yatou,CN,2020-04-19 19:59:48,37.15,122.38,47.52,91,47,12.5,light rain,0.11,0.0
61,Tuktoyaktuk,CA,2020-04-19 19:59:48,69.45,-133.04,8.6,84,90,11.41,light snow,0.0,0.0
62,Cherskiy,RU,2020-04-19 19:56:43,68.75,161.3,4.64,93,100,6.87,light snow,0.0,0.13
63,San Carlos De Bariloche,AR,2020-04-19 19:59:48,-41.15,-71.31,51.8,53,75,28.86,broken clouds,0.0,0.0
64,Santa Rosa,PH,2020-04-19 19:59:49,14.31,121.11,82.4,69,20,3.36,few clouds,0.0,0.0
65,Castro,BR,2020-04-19 19:59:49,-24.79,-50.01,62.6,56,33,3.02,scattered clouds,0.0,0.0
66,Mayo,US,2020-04-19 19:59:49,38.89,-76.51,66.0,58,1,16.11,clear sky,0.0,0.0
67,Lima,PE,2020-04-19 19:56:15,-12.04,-77.03,77.0,61,28,9.17,scattered clouds,0.0,0.0
68,Longyearbyen,SJ,2020-04-19 19:59:49,78.22,15.64,33.8,69,75,35.57,light intensity drizzle,0.0,0.0
69,Muswellbrook,AU,2020-04-19 19:59:49,-32.27,150.9,48.0,76,83,3.53,broken clouds,0.0,0.0
70,Baisha,CN,2020-04-19 19:59:50,26.52,110.93,61.09,73,66,2.01,broken clouds,0.0,0.0
71,Port Macquarie,AU,2020-04-19 19:59:50,-31.43,152.92,55.0,97,9,5.61,clear sky,0.0,0.0
72,Baker City,US,2020-04-19 19:57:02,44.77,-117.83,59.0,41,1,6.93,clear sky,0.0,0.0
73,Miedzychod,PL,2020-04-19 19:59:50,52.6,15.9,41.0,52,0,7.2,clear sky,0.0,0.0
