City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,San Cristobal,VE,2020-04-19 16:59:45,7.77,-72.22,87.8,52,40,4.7
70,Bilokurakyne,UA,2020-04-19 16:59:45,49.53,38.73,42.67,75,51,5.86
71,Nome,US,2020-04-19 16:59:45,64.5,-165.41,33.8,100,90,3.36
72,Long Xuyen,VN,2020-04-19 16:55:37,10.38,105.42,81.3,72,73,7.11
73,Coahuayana,MX,2020-04-19 16:59:46,18.73,-103.68,80.6,54,40,6.55
74,Bumba,CD,2020-04-19 16:59:46,2.18,22.47,74.26,83,95,3.83
75,Puerto Escondido,MX,2020-04-19 16:57:04,15.85,-97.07,89.6,75,5,9.17
76,Nikolskoye,RU,2020-04-19 16:59:46,59.7,30.79,42.01,69,40,8.95
77,Rincon,US,2020-04-19 16:59:46,32.3,-81.24,73.4,49,90,8.05
78,Mataura,NZ,2020-04-19 16:59:47,-46.19,168.86,43.0,85,93,4.0
79,Samfya,ZM,2020-04-19 16:59:47,-11.36,29.56,66.15,61,48,6.46
80,Eyl,SO,2020-04-19 16:59:47,7.98,49.82,84.31,71,28,10.18
81,Atuona,PF,2020-04-19 16:59:42,-9.8,-139.03,82.45,76,92,15.55
82,Faya,SA,2020-04-19 16:59:47,18.39,42.45,66.2,82,98,8.05
83,Cayenne,GF,2020-04-19 16:59:47,4.93,-52.33,78.8,100,97,3.36
84,Santa Isabel,BR,2020-04-19 16:59:48,-23.32,-46.22,77.0,53,40,6.93
85,Castro,BR,2020-04-19 16:59:48,-24.79,-50.01,73.99,34,2,2.82
86,Makakilo City,US,2020-04-19 16:59:48,21.35,-158.09,69.8,100,20,2.66
87,Bathsheba,BB,2020-04-19 16:59:48,13.22,-59.52,87.8,55,40,21.92
88,Saldanha,ZA,2020-04-19 16:59:48,-33.01,17.94,62.6,77,0,11.41
89,Kirovskiy,RU,2020-04-19 16:59:49,45.09,133.51,44.33,66,100,5.53
90,Honiara,SB,2020-04-19 16:57:13,-9.43,159.95,77.0,100,20,2.57
91,Moroni,KM,2020-04-19 16:59:34,-11.7,43.26,82.87,74,63,17.36
92,Komsomolskiy,UZ,2020-04-19 16:59:49,40.43,71.72,60.8,44,3,2.24
93,Punta Arenas,CL,2020-04-19 16:59:49,-53.15,-70.92,44.6,65,40,44.96
94,Namibe,AO,2020-04-19 16:59:50,-15.2,12.15,76.14,62,2,14.14
95,Ponta Do Sol,PT,2020-04-19 16:59:50,32.67,-17.1,66.99,53,24,4.0
96,Xining,CN,2020-04-19 16:59:50,36.62,101.77,42.75,25,99,6.91
97,Mogadishu,SO,2020-04-19 16:59:17,2.04,45.34,84.88,70,99,9.28
98,Geraldton,AU,2020-04-19 16:59:50,-28.77,114.6,57.2,87,35,2.24
99,Arraial Do Cabo,BR,2020-04-19 16:59:50,-22.97,-42.03,78.8,65,40,8.05
100,Ternate,ID,2020-04-19 16:59:51,0.8,127.4,80.71,76,91,2.15
101,Chuy,UY,2020-04-19 16:56:35,-33.7,-53.46,72.5,63,0,8.7
102,Boyabat,TR,2020-04-19 16:59:51,41.47,34.77,58.82,49,40,3.91
103,Dingle,PH,2020-04-19 16:59:51,11.0,122.67,80.31,80,90,7.54
